tweet_id,tweet_hashtag,tweet_text,retweet,retweet_source_id,retweet_count,is_fake,user_verified,user_followers_count,user_statuses_count,user_friends_count,user_favourites_count,tweet_relative_age
524938376735379457,ottawashooting,"@dmatthewmillar @FionaMcK also, maybe just window cleaners- https://t.co/QAhDtpg5bv",false,524927281048080385,0,true,False,376,5887,1039,474,11
524995126993887232,ottawashooting,@stefankeyesCTV @Donna_West Prayers for Canada.,false,524958227768020992,0,true,False,1709,77969,2000,570,7
524946153998004224,ottawashooting,"@l_stone Hi, I'm writing from euronews tv. Is this your material? Can we air it and credit you?",false,524945197705461763,0,true,False,67,54,113,2,8
524976268010602497,ottawashooting,@reporterchris agreed...just took too long to make it,false,524974975623892992,0,true,False,9,1529,37,2,3
525061845691154432,ottawashooting,@BBCBreaking thought canada was nice to live,false,525058825909731328,0,true,False,71,202,168,28,7
525032398967570432,ottawashooting,@ABC @WorldNews we've let the enemy in the front door.,false,525027317551079424,0,true,False,15,1016,100,227,6
524955744496779264,ottawashooting,“@Reuters: At least 30 more shots were fired inside Parliament in Ottawa. http://t.co/N3jzyBGjQV”,false,524954833648771072,0,true,False,551,11182,1054,769,4
525385992178794499,ottawashooting,"@dave_bradley @Steven31015146 Yes, just because they read the Qur'an and use Islamic theology to justify terror doesnt mean they're Muslims",false,524973554966597632,0,true,False,663,6914,832,0,3
524959654686629888,ottawashooting,@CNN The results are in!!! Our viewers voted on the best online store!! Check them out   --&gt; http://t.co/AMv5X4cQKn,false,524959630158725120,0,true,False,24,1718,41,0,9
524943872246697984,ottawashooting,@CTVNews,false,524943132409212928,0,true,False,7,142,93,23,3
524977506483732480,ottawashooting,"RT @AP BREAKING: Hospital says it has received 3 victims from Ottawa shootings, 2 are in stable condition.",false,524976929703997441,0,true,False,3995,230718,2534,13194,6
524958721479155713,ottawashooting,@ericabecks @MissTaraTeng @globeandmail wat news agrees its isis ?  Im interested,false,524957228327907328,0,true,False,47,1964,119,96,5
524935582464868352,ottawashooting,"@BBCBreaking PLEASE SIGN &amp; RT UK

FOLLOW @justiceforBigAl 

http://t.co/Ig6pyUfNVd

http://t.co/uVSThNo4gU

#FreeMarineA",false,524934941914968064,1,true,False,1563,11621,2003,11178,8
525062711164801025,ottawashooting,@seemakalia Also listen closely to how loud the first shot is. Definitely not a pistol caliber round. Bad guy shot first. Glad he's dead.,false,525060428292837377,0,true,False,3772,18001,3684,3075,7
525083483493117952,ottawashooting,@globeandmail sad to have another victim by some Loser who thought that Islam is the greatest.,false,525047349757100034,0,true,False,16,3850,41,8,2
525048816459071488,ottawashooting,@weday it's so sad 😭😭😭😭😭😭😭,false,525008613392515073,0,true,False,36,46,126,41,1
524975805580210176,ottawashooting,@washingtonpost 13 favorites?! Really? Not sure you understand twitter people.,false,524969137660231680,0,true,False,94,2833,325,1125,5
525025695425380352,ottawashooting,"Hamilton Argylls soldier, Nathan Cirillo, on the right in this picture, dies in Ottawa attack http://t.co/K0j8j0eLiw http://t.co/aKBFslkfAg",false,None,126,true,True,36949,65099,245,2,10
524965991072423936,ottawashooting,@MystiRoz they may not be radicalised. This is only what you are fed by media which governments control you need to open your mind to truth,false,524965013291679744,0,true,False,101,2192,131,129,0
525056750924627969,ottawashooting,@CP24 where's Justin? Does he want to send more Aid Workers to deal with ISIL ? Understand what we have done to them ? He needs a Nobel PZ,false,524985325190656000,0,true,False,42,216,78,16,5
524943016373784576,ottawashooting,“@BCheadle: now police suspect two or three shooters on Parliament Hill. Sergeant at Arms KVickers shot 1assailant.” +shooters @luvlealife,false,524939378552864768,0,true,False,338,2104,499,542,2
524963030199988225,ottawashooting,@nochillmariam fuck. I told my teacher that and he almost let us out. He's a dumbass,false,524962899526430720,0,true,False,595,14319,432,6853,7
524931964978331648,ottawashooting,"#AttackInOttawa
@CarolAnneCTV: Report: man apprehended on Parliament Hill.  As many as 30 shots fired  - soldier shot at War Memorial",false,524930575472136192,0,true,False,663,9865,1340,168,10
525037189722570752,ottawashooting,@BergsonSandra thank you. That means a lot.,false,525036659340247041,0,true,False,2043,83983,1357,157095,0
524954028287877121,ottawashooting,Police in Ottawa are searching for suspected gunmen who shot a solider and fired shots in Parliament this morning. http://t.co/1cKIHwuCzl,false,None,105,true,True,5270314,109942,1042,840,7
524956281950724097,ottawashooting,@CP24 this shouldn't happen in Canada 🙈,false,524951711941922818,0,true,False,50,1007,52,86,9
524954833648771072,ottawashooting,At least 30 more shots were fired inside Parliament in Ottawa. http://t.co/1cKIHwuCzl,false,None,184,true,True,5270012,109937,1042,840,7
525045861433491456,ottawashooting,@SunNewsNetwork His dog will also miss him very much.,false,525030696738652160,0,true,False,1780,90366,1536,42,7
525014596143550466,ottawashooting,"We already know which bullets went where? After the first few shots by Vickers, he was shot at 30 odd more times? @SimonLiu20 @CBCToronto",false,525013810755956736,0,true,False,345,6292,1060,138,4
525038896480923648,ottawashooting,@DualGrey @AP Those Amish have it figured out!,false,525038330572840960,0,true,False,204,6073,175,709,4
525043086049943552,ottawashooting,@HonJohnBaird @CBCNews Harper is to blame,false,525036214286815232,0,true,False,4,98,22,22,5
524958647416528896,ottawashooting,@coleenjud @PzFeed hey Col thanks. We are safe in our hotel. Not too far from the Parliament Buildings. All Gov. Buildings are locked down.,false,524954781358759936,0,true,False,21,1040,106,291,8
524944149427281920,ottawashooting,@CBCOttawa,false,524944006577668096,0,true,False,20,15,95,4,4
525036486337757185,ottawashooting,@CP24 That name should not be mentioned again.,false,525028734991343617,0,true,False,218,1997,808,119,6
524967160498896896,ottawashooting,@globeandmail Sorry for your predicament. God Bless Canada and its beautiful citizens.,false,524950887119482882,1,true,False,313,1214,1376,11,1
524964752921874433,ottawashooting,"@affanchowdhry @DamoSpin give the guy life long tax break, he's a National Hero. #Canada #cdnpoli",false,524962748237889536,0,true,False,526,3539,1984,382,10
524940413073756160,ottawashooting,@cbcjlong That's the UK High Commission building.,false,524940077978640384,0,true,False,669,1054,1679,143,1
524976963862429697,ottawashooting,"The Canadian soldier shot at the War Memorial has died, officials reported. http://t.co/uKQg1qVQm6 #OttawaShooting http://t.co/bbG09qLY26",false,None,1379,true,True,14496794,50238,998,713,8
